Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
298,296.702,9.5031,16.5612,19.094,6.4071
299,297.689,9.6347,16.6414,19.2292,6.4312
300,298.677,9.7674,16.7198,19.3637,6.4549
301,299.666,9.9012,16.8029,19.5031,6.4789
302,300.654,10.0283,16.8789,19.6333,6.5008
303,301.643,10.1566,16.954,19.7635,6.5226
304,302.631,10.2861,17.0316,19.8968,6.5453
305,303.619,10.4244,17.1162,20.0408,6.5702
306,304.606,10.5593,17.1959,20.1791,6.5942
307,305.594,10.6939,17.2738,20.3161,6.6176
308,306.581,10.829,17.3499,20.452,6.6406
309,307.569,10.9689,17.43,20.5942,6.6642
310,308.557,11.0999,17.5064,20.7287,6.6864
311,309.546,11.2298,17.5822,20.8625,6.7082
312,310.533,11.3601,17.6615,20.9995,6.7309
313,311.521,11.5007,17.7458,21.1466,6.7556
314,312.508,11.6355,17.8267,21.2879,6.7793
315,313.495,11.7724,17.908,21.431,6.8035
316,314.482,11.9073,17.9895,21.5733,6.8273
317,315.47,12.0462,18.0773,21.7233,6.8522
318,316.457,12.1814,18.1555,21.8634,6.875
319,317.444,12.3157,18.2353,22.0046,6.898
320,318.431,12.4496,18.3225,22.1519,6.9228
321,319.418,12.5886,18.4154,22.307,6.9487
322,320.405,12.7217,18.5054,22.4564,6.9738
323,321.392,12.8498,18.5979,22.6053,6.9986
324,322.38,12.9755,18.6864,22.7497,7.0218
325,323.367,13.1112,18.7764,22.901,7.0459
326,324.355,13.2413,18.8586,23.043,7.0682
327,325.342,13.3823,18.9356,23.1871,7.0909
328,326.329,13.5219,19.0112,23.3295,7.113
329,327.315,13.6672,19.101,23.487,7.1384
330,328.301,13.8089,19.1821,23.6356,7.162
331,329.288,13.9479,19.2644,23.7836,7.1854
332,330.274,14.092,19.3432,23.9321,7.2088
333,331.26,14.2413,19.4327,24.0924,7.2344
334,332.245,14.3833,19.5227,24.249,7.2599
335,333.231,14.5236,19.6093,24.4021,7.2842
336,334.218,14.6551,19.698,24.5517,7.3074
337,335.205,14.7937,19.7892,24.7076,7.3311
338,336.192,14.9261,19.8793,24.8591,7.3545
339,337.178,15.0634,19.9694,25.0137,7.3787
340,338.163,15.2022,20.0618,25.1711,7.4036
341,339.149,15.3463,20.1582,25.335,7.4291
342,340.135,15.4877,20.2467,25.4911,7.4533
